,title,comb
0,Pirates of the Caribbean: Dead Men Tell No Tales,Joachim Rønning Espen Sandberg Johnny Depp Javier Bardem Geoffrey Rush Adventure Action Fantasy Comedy
1,Justice League,Zack Snyder Ben Affleck Henry Cavill Gal Gadot Action Adventure Fantasy Sci-Fi
2,Thor: Ragnarok,Taika Waititi Chris Hemsworth Tom Hiddleston Cate Blanchett Action Adventure Fantasy Sci-Fi
3,Guardians of the Galaxy Vol. 2,James Gunn Chris Pratt Zoe Saldana Dave Bautista Action Adventure Comedy Sci-Fi
4,The King's Daughter,Sean McNamara Pierce Brosnan William Hurt Benjamin Walker Fantasy Action Adventure
5,Extinction Jurassic Predators 2017,Adam Spinks Ben Loyd-Holmes Sarah Mac Neil Newbon Thriller Adventure
6,For Here or to Go?,Rucha Humnabadkar Ali Fazal Melanie Chandra Omi Vaidya Drama Comedy
7,Защитники,Sarik Andreasyan Anton Pampushnyy Sanzhar Madiyev Sebastien Sisak Action Fantasy Sci-Fi
8,The Outcasts,Peter Hutchings Victoria Justice Eden Sher Ashley Rickards Comedy
9,Wonder Woman,Patty Jenkins Gal Gadot Chris Pine Robin Wright Action Adventure Fantasy
10,Sly Cooper,Kevin Munroe Chris Murphy Ian James Corlett Matt Olsen Animation Adventure Comedy Action Family
11,The Circle,James Ponsoldt Emma Watson Tom Hanks John Boyega Drama Thriller Sci-Fi
12,Pitch Perfect 3,Trish Sie Anna Kendrick Rebel Wilson Brittany Snow Comedy
13,The Master,
14,The Devil's Candy,Sean Byrne Ethan Embry Shiri Appleby Kiara Glasco Horror
15,Las Plantas,Roberto Doveris Violeta Castillo Ingrid Isensee Mauricio Vaca Drama
16,"Return to Return to Nuke 'Em High, aka Volume 2",Lloyd Kaufman Asta Paredes Catherine Corcoran Zac Amino Comedy Horror
17,The Cheerleader Murders,David Jackson Amanda Leighton Samantha Boscarino Hannah Kasulka TV Movie Thriller
18,Dean,Demetri Martin Demetri Martin Gillian Jacobs Christine Woods Comedy
19,Leatherface,Alexandre Bustillo Julien Maury Stephen Dorff Lili Taylor Sam Strike Horror
20,47 Meters Down,Johannes Roberts Claire Holt Mandy Moore Chris Johnson Drama Thriller Horror Adventure
21,Porto,Gabe Klinger Lucie Lucas Anton Yelchin Paulo Calatré Romance Drama
22,Mamaboy,Aaron Leong Sean O'Donnell Alexandria DeBerry Gary Busey Comedy Drama Family Fantasy Romance Sci-Fi
23,David Lynch: The Art Life,
24,The Promise,Terry George Oscar Isaac Charlotte Le Bon Christian Bale History Romance Drama
25,All Eyez on Me,Benny Boom Demetrius Shipp Jr. Danai Gurira Kat Graham Drama Music
26,Colossal,Nacho Vigalondo Anne Hathaway Jason Sudeikis Tim Blake Nelson Action Comedy Drama Fantasy Sci-Fi
27,Voyage of Time: Life's Journey,
28,London Town,Derrick Borte Jonathan Rhys Meyers Daniel Huttlestone Dougray Scott Drama Music
29,Brimstone,Martin Koolhoven Guy Pearce Dakota Fanning Carice van Houten Mystery Thriller Western
30,The White King,Alex Helfrecht Jörg Tittel Agyness Deyn Jonathan Pryce Fiona Shaw Drama Sci-Fi
31,Risk,Laura Poitras Julian Assange Sarah Harrison Jacob Appelbaum Documentary
32,Kiki,
33,Shangri-La Suite,Eddie O'Keefe Emily Browning Luke Grimes Ron Livingston Romance Drama Crime
34,Безбог,Ralitza Petrova Irena Ivanova Ivan Nalbantov Ventzislav Konstantinov Drama
35,The Space Between Us,Peter Chelsom Asa Butterfield Britt Robertson Carla Gugino Romance Adventure Sci-Fi Drama
36,National Bird,
37,I Am Not Your Negro,Raoul Peck Samuel L. Jackson James Baldwin Malcolm X Documentary
38,Kedi,
39,A Dog's Purpose,Lasse Hallström Dennis Quaid Britt Robertson Josh Gad Comedy Drama Family Fantasy
40,Manifesto,Julian Rosefeldt Cate Blanchett Erika Bauer Ruby Bustamante Drama
41,The Little Hours,Jeff Baena Alison Brie Dave Franco Aubrey Plaza Comedy
42,Fist Fight,Richie Keen Charlie Day Ice Cube Tracy Morgan Comedy
43,Sleepless,Baran bo Odar Jamie Foxx Michelle Monaghan Dermot Mulroney Action Crime Thriller
44,A Cure for Wellness,Gore Verbinski Dane DeHaan Jason Isaacs Mia Goth Mystery Thriller Horror Sci-Fi
45,Mesteren,Charlotte Sieling Jakob Oftebro Ane Dahl Torp Søren Malling Drama Comedy
46,xXx: Return of Xander Cage,D.J. Caruso Vin Diesel Ice Cube Samuel L. Jackson Action Adventure Crime
47,The Bye Bye Man,Stacy Title Douglas Smith Lucien Laviscount Cressida Bonas Horror Thriller
48,Prevenge,Alice Lowe Alice Lowe Jo Hartley Kate Dickie Horror Comedy Drama Thriller Fantasy
49,The Lego Batman Movie,Chris McKay Will Arnett Zach Galifianakis Michael Cera Action Animation Comedy Family Fantasy
50,Noces,Stephan Streker Lina El Arabi Sébastien Houbani Babak Karimi Drama
51,功夫瑜伽,Stanley Tong Jackie Chan Disha Patani Sonu Sood Mystery Action Adventure Comedy
52,रंगून,Vishal Bhardwaj Saif Ali Khan Shahid Kapoor Kangana Ranaut War History Drama Romance
53,Death Race 2050,G.J. Echternkamp Manu Bennett Malcolm McDowell Marci Miller Action Comedy Sci-Fi
54,Trespass Against Us,Adam Smith Michael Fassbender Brendan Gleeson Lyndsey Marshal Action Drama Crime Thriller
55,Claire in Motion,Lisa Robinson Annie J. Howell Betsy Brandt Chris Beetem Zev Haworth Drama
56,Coin Heist,Emily Hagins Alex Saxon Alexis G. Zall Sasha Pieterse Family Crime
57,Rings,F. Javier Gutiérrez Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki Horror
58,Clinical,Alistair Legrand Vinessa Shaw Kevin Rahm Aaron Stanford Thriller
59,Jim Gaffigan: Cinco,
60,Eu Fico Loko,Bruno Garotti Michel Joelsas Alessandra Negrini Marcello Airoldi Comedy
61,The Crash,Aram Rappaport Frank Grillo Minnie Driver AnnaSophia Robb Crime Thriller
62,傷物語〈Ⅲ冷血篇〉,Tatsuya Oishi Akiyuki Shinbo Hiroshi Kamiya Yui Horie Maaya Sakamoto Animation Fantasy Mystery
63,John Wick: Chapter 2,Chad Stahelski Keanu Reeves Common Laurence Fishburne Thriller Action Crime
64,Get Out,Jordan Peele Daniel Kaluuya Allison Williams Bradley Whitford Mystery Thriller Horror
65,Logan,James Mangold Hugh Jackman Patrick Stewart Dafne Keen Action Drama Sci-Fi
66,Kong: Skull Island,Jordan Vogt-Roberts Tom Hiddleston Samuel L. Jackson Brie Larson Action Adventure Fantasy
67,City of Tiny Lights,Pete Travis Riz Ahmed Billie Piper James Floyd Crime Drama Thriller
68,T2 Trainspotting,Danny Boyle Ewan McGregor Jonny Lee Miller Ewen Bremner Crime Drama
69,Science Fiction Volume One: The Osiris Child,Shane Abbess Kellan Lutz Daniel MacPherson Isabel Lucas Sci-Fi
70,Before I Fall,Ry Russo-Young Zoey Deutch Halston Sage Logan Miller Mystery Drama Thriller
71,The Big Sick,Michael Showalter Kumail Nanjiani Zoe Kazan Holly Hunter Comedy Drama Romance
72,Ingrid Goes West,Matt Spicer Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Drama Comedy
73,I Don't Feel at Home in This World Anymore,Macon Blair Melanie Lynskey Elijah Wood David Yow Comedy Crime Drama Thriller
74,King Arthur: Legend of the Sword,Guy Ritchie Charlie Hunnam Astrid Bergès-Frisbey Jude Law Action Drama Fantasy
