,title,comb
26,Titanic,James Cameron Leonardo DiCaprio Kate Winslet Gloria Stuart Drama Romance
27,Captain America: Civil War,Anthony Russo Robert Downey Jr. Scarlett Johansson Chris Evans Action Adventure Sci-Fi
28,Battleship,Peter Berg Liam Neeson Alexander Skarsgård Tadanobu Asano Action Adventure Sci-Fi Thriller
29,Jurassic World,Colin Trevorrow Bryce Dallas Howard Judy Greer Omar Sy Action Adventure Sci-Fi Thriller
30,Skyfall,Sam Mendes Albert Finney Helen McCrory Rory Kinnear Action Adventure Thriller
31,Spider-Man 2,Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Fantasy Romance
32,Iron Man 3,Shane Black Robert Downey Jr. Jon Favreau Don Cheadle Action Adventure Sci-Fi
33,Alice in Wonderland,Tim Burton Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
34,X-Men: The Last Stand,Brett Ratner Hugh Jackman Kelsey Grammer Daniel Cudmore Action Adventure Fantasy Sci-Fi Thriller
35,Monsters University,Dan Scanlon Steve Buscemi Tyler Labine Sean Hayes Adventure Animation Comedy Family Fantasy
36,Transformers: Revenge of the Fallen,Michael Bay Glenn Morshower Kevin Dunn Ramon Rodriguez Action Adventure Sci-Fi
37,Transformers: Age of Extinction,Michael Bay Bingbing Li Sophia Myles Kelsey Grammer Action Adventure Sci-Fi
38,Oz the Great and Powerful,Sam Raimi Tim Holmes Mila Kunis James Franco Adventure Family Fantasy
39,The Amazing Spider-Man 2,Marc Webb Emma Stone Andrew Garfield B.J. Novak Action Adventure Fantasy Sci-Fi
40,TRON: Legacy,Joseph Kosinski Jeff Bridges Olivia Wilde James Frain Action Adventure Sci-Fi
41,Cars 2,John Lasseter Joe Mantegna Thomas Kretschmann Eddie Izzard Adventure Animation Comedy Family Sport
42,Green Lantern,Martin Campbell Ryan Reynolds Temuera Morrison Taika Waititi Action Adventure Sci-Fi
43,Toy Story 3,Lee Unkrich Tom Hanks John Ratzenberger Don Rickles Adventure Animation Comedy Family Fantasy
44,Terminator Salvation,McG Christian Bale Bryce Dallas Howard Common Action Adventure Sci-Fi
45,Furious 7,James Wan Jason Statham Paul Walker Vin Diesel Action Crime Thriller
46,World War Z,Marc Forster Peter Capaldi Brad Pitt Mireille Enos Action Adventure Horror Sci-Fi Thriller
47,X-Men: Days of Future Past,Bryan Singer Jennifer Lawrence Peter Dinklage Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
48,Star Trek Into Darkness,J.J. Abrams Benedict Cumberbatch Bruce Greenwood Noel Clarke Action Adventure Sci-Fi
49,Jack the Giant Slayer,Bryan Singer Eddie Marsan Ewen Bremner Ralph Brown Adventure Fantasy
50,The Great Gatsby,Baz Luhrmann Leonardo DiCaprio Elizabeth Debicki Steve Bisley Drama Romance
51,Prince of Persia: The Sands of Time,Mike Newell Jake Gyllenhaal Richard Coyle Reece Ritchie Action Adventure Fantasy Romance
52,Pacific Rim,Guillermo del Toro Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Action Adventure Sci-Fi
53,Transformers: Dark of the Moon,Michael Bay Glenn Morshower Lester Speight Kevin Dunn Action Adventure Sci-Fi
54,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg Harrison Ford Ray Winstone Jim Broadbent Action Adventure Fantasy
55,The Good Dinosaur,Peter Sohn A.J. Buckley Jack McGraw Peter Sohn Adventure Animation Comedy Family Fantasy
56,Brave,Mark Andrews Kelly Macdonald John Ratzenberger Julie Walters Adventure Animation Comedy Family Fantasy
57,Star Trek Beyond,Justin Lin Sofia Boutella Melissa Roxburgh Lydia Wilson Action Adventure Sci-Fi Thriller
58,WALL·E,Andrew Stanton John Ratzenberger Fred Willard Jeff Garlin Adventure Animation Family Sci-Fi
59,Rush Hour 3,Brett Ratner Tzi Ma Dana Ivey Noémie Lenoir Action Comedy Crime Thriller
60,2012,Roland Emmerich Oliver Platt Liam James Tom McCarthy Action Adventure Sci-Fi
61,A Christmas Carol,Robert Zemeckis Robin Wright Colin Firth Gary Oldman Animation Drama Family Fantasy
62,Jupiter Ascending,Lana Wachowski Channing Tatum Mila Kunis Eddie Redmayne Action Adventure Sci-Fi
63,The Legend of Tarzan,David Yates Christoph Waltz Alexander Skarsgård Casper Crump Action Adventure Drama Romance
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson Jim Broadbent Kiran Shah Shane Rangi Adventure Family Fantasy
65,X-Men: Apocalypse,Bryan Singer Jennifer Lawrence Michael Fassbender Tye Sheridan Action Adventure Sci-Fi
66,The Dark Knight,Christopher Nolan Christian Bale Heath Ledger Morgan Freeman Action Crime Drama Thriller
