,title,comb
1159,The Heat,Paul Feig Michael Rapaport William Xifaras Demián Bichir Action Comedy Crime
1160,Cleopatra,Joseph L. Mankiewicz Martin Landau Richard Burton Roddy McDowall Biography Drama History Romance
1161,Here Comes the Boom,Frank Coraci Salma Hayek Reggie Lee Charice Action Comedy Sport
1162,High Crimes,Carl Franklin Morgan Freeman Adam Scott Bruce Davison Crime Drama Mystery Thriller
1163,The Mirror Has Two Faces,Barbra Streisand Jeff Bridges Austin Pendleton Mimi Rogers Comedy Drama Romance
1164,The Mothman Prophecies,Mark Pellington Debra Messing Will Patton David Eigenberg Drama Horror Mystery Thriller
1165,Brüno,Larry Charles Bono Elton John Slash Comedy
1166,Licence to Kill,John Glen Robert Davi Talisa Soto Anthony Zerbe Action Adventure Thriller
1167,Red Riding Hood,Catherine Hardwicke Gary Oldman Billy Burke Virginia Madsen Fantasy Horror Mystery Thriller
1168,15 Minutes,John Herzfeld Robert De Niro Charlize Theron Kelsey Grammer Action Crime Drama Thriller
1169,Super Mario Bros.,Annabel Jankel Bob Hoskins Fisher Stevens Fiona Shaw Adventure Comedy Family Fantasy Sci-Fi
1170,Lord of War,Andrew Niccol Nicolas Cage Jeremy Crutchley Jared Burke Crime Drama Thriller
1171,Hero,Yimou Zhang Jet Li Tony Chiu Wai Leung Maggie Cheung Action Adventure History
1172,One for the Money,Julie Anne Robinson Fisher Stevens Debbie Reynolds Patrick Fischler Action Comedy Crime Romance Thriller
1173,The Interview,Evan Goldberg James Franco Randall Park Anders Holm Comedy
1174,The Warrior's Way,Sngmoo Lee Tony Cox Dong-gun Jang Jed Brophy Action Fantasy Western
1175,McHale's Navy            , Tim Conway Gavin MacLeod Bob Hastings Comedy War
1176,Micmacs,Jean-Pierre Jeunet Omar Sy Dany Boon André Dussollier Action Comedy Crime
1177,8 Mile,Curtis Hanson Mekhi Phifer Omar Benson Miller Evan Jones Drama Music
1178,Animal Kingdom: Let's go Ape,Jamel Debbouze Jamel Debbouze Youssef Hajdi Mélissa Theuriau Adventure Animation Comedy Family
1179,A Knight's Tale,Brian Helgeland Heath Ledger Rufus Sewell Bérénice Bejo Action Adventure Romance
1180,The Medallion,Gordon Chan Julian Sands Lee Evans Anthony Chau-Sang Wong Action Comedy Fantasy
1181,The Sixth Sense,M. Night Shyamalan Bruce Willis Haley Joel Osment Olivia Williams Drama Mystery Thriller
1182,Man on a Ledge,Asger Leth Robert Clohessy Mandy Gonzalez J. Smith-Cameron Action Crime Thriller
1183,The Big Year,David Frankel Joel McHale Kevin Pollak JoBeth Williams Comedy
1184,The Karate Kid,John G. Avildsen Martin Kove William Zabka William Bassett Action Drama Family Sport
1185,American Hustle,David O. Russell Jennifer Lawrence Christian Bale Bradley Cooper Crime Drama
1186,The Proposal,Anne Fletcher Ryan Reynolds Denis O'Hare Craig T. Nelson Comedy Drama Romance
1187,Double Jeopardy,Bruce Beresford Bruce Greenwood Annabeth Gish Bruce Campbell Crime Mystery Thriller
1188,Back to the Future Part II,Robert Zemeckis Lea Thompson Jeffrey Weissman Thomas F. Wilson Adventure Comedy Sci-Fi
1189,Lucy,Luc Besson Scarlett Johansson Morgan Freeman Amr Waked Action Sci-Fi Thriller
1190,Fifty Shades of Grey,Sam Taylor-Johnson Jennifer Ehle Luke Grimes Callum Rennie Drama Romance
1191,Spy Kids 3-D: Game Over,Robert Rodriguez Sylvester Stallone Salma Hayek Alexa PenaVega Action Adventure Comedy Family Sci-Fi
1192,A Time to Kill,Joel Schumacher Kevin Spacey Matthew McConaughey Oliver Platt Crime Drama Thriller
1193,Cheaper by the Dozen,Shawn Levy Tom Welling Alyson Stoner Bonnie Hunt Comedy Family
1194,Lone Survivor,Peter Berg Jerry Ferrara Scott Elrod Dan Bilzerian Action Biography Drama Thriller War
1195,A League of Their Own,Penny Marshall Tom Hanks Lori Petty Rosie O'Donnell Comedy Drama Sport
1196,The Conjuring 2,James Wan Javier Botet Frances O'Connor Robin Atkin Downes Horror Mystery Thriller
1197,The Social Network,David Fincher Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope Biography Drama
1198,He's Just Not That Into You,Ken Kwapis Carmen Perez Sabrina Revelle Sachiko Ishida Comedy Drama Romance
1199,Scary Movie 4,David Zucker Beau Mirchoff Carmen Electra Regina Hall Comedy
1200,Scream 3,Wes Craven Kelly Rutherford Roger Jackson Nancy O'Dell Horror Mystery
1201,Back to the Future Part III,Robert Zemeckis Lea Thompson Jeffrey Weissman Thomas F. Wilson Adventure Comedy Sci-Fi Western
1202,Get Hard,Etan Cohen Will Ferrell Alison Brie Craig T. Nelson Comedy Crime
1203,Bram Stoker's Dracula,Francis Ford Coppola Keanu Reeves Anthony Hopkins Gary Oldman Fantasy Horror Romance
1204,Julie & Julia,Nora Ephron Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Biography Drama Romance
1205,42,Brian Helgeland Harrison Ford Christopher Meloni Nicole Beharie Biography Drama Sport
1206,The Talented Mr. Ripley,Anthony Minghella Philip Seymour Hoffman Matt Damon Jack Davenport Crime Drama Thriller
1207,Dumb and Dumber To,Bobby Farrelly Bill Murray Kathleen Turner Rob Riggle Comedy
1208,Eight Below,Frank Marshall Paul Walker Bruce Greenwood Wendy Crewson Adventure Drama Family
1209,The Intern,Nancy Meyers Robert De Niro Anne Hathaway Rene Russo Comedy Drama
1210,Ride Along 2,Tim Story Olivia Munn Nadine Velazquez Bruce McGill Action Comedy
1211,The Last of the Mohicans,Michael Mann Wes Studi Terry Kinney Eric Schweig Action Adventure Drama Romance War
1212,Ray,Taylor Hackford Bokeem Woodbine Curtis Armstrong Harry Lennix Biography Drama Music
1213,Sin City,Frank Miller Rosario Dawson Powers Boothe Jason Douglas Crime Thriller
1214,Vantage Point,Pete Travis Dennis Quaid Edgar Ramírez William Hurt Crime Drama Mystery Thriller
1215,"I Love You, Man",John Hamburg J.K. Simmons Jon Favreau Jane Curtin Comedy Romance
1216,Shallow Hal,Bobby Farrelly Jason Alexander Bruce McGill Susan Ward Comedy Drama Fantasy Romance
1217,JFK,Oliver Stone Sally Kirkland Jay O. Sanders Cheryl Penland Drama History Thriller
1218,Big Momma's House 2,John Whitesell Chloë Grace Moretz Nia Long Marisol Nichols Comedy Crime
1219,The Mexican,Gore Verbinski J.K. Simmons Brad Pitt Julia Roberts Adventure Comedy Crime Romance
1220,Unbroken,Angelina Jolie Pitt Finn Wittrock Jack O'Connell Alex Russell Biography Drama Sport War
1221,17 Again,Burr Steers Matthew Perry Hunter Parrish Thomas Lennon Comedy Drama Family Fantasy Romance
1222,The Other Woman,Nick Cassavetes Don Johnson Kate Upton David Thornton Comedy Romance
1223,The Final Destination,David R. Ellis Krista Allen Andrew Fiscella Shantel VanSanten Horror
1224,Bridge of Spies,Steven Spielberg Tom Hanks Mark Rylance Amy Ryan Drama History Thriller
1225,Behind Enemy Lines,John Moore Joaquim de Almeida David Keith Sam Jaeger Action Drama Thriller War
1226,Get Him to the Greek,Nicholas Stoller Pink Mario Lopez Lino Facioli Comedy Music
1227,Shall We Dance,Peter Chelsom Lisa Ann Walter Nick Cannon Omar Benson Miller Comedy Drama Romance
1228,Small Soldiers,Joe Dante Kirsten Dunst Denis Leary Robert Picardo Action Adventure Comedy Family Sci-Fi
1229,Spawn,Mark A.Z. Dippé Michael Jai White Frank Welker Miko Hughes Action Horror
1230,The Count of Monte Cristo,Kevin Reynolds Henry Cavill James Frain Michael Wincott Action Adventure Drama Romance Thriller
1231,The Lincoln Lawyer,Brad Furman Matthew McConaughey Margarita Levieva Frances Fisher Crime Drama Thriller
1232,Unknown,Jaume Collet-Serra Liam Neeson Frank Langella Aidan Quinn Action Mystery Thriller
1233,The Prestige,Christopher Nolan Christian Bale Hugh Jackman Scarlett Johansson Drama Mystery Sci-Fi Thriller
1234,Horrible Bosses 2,Sean Anders Kevin Spacey Christoph Waltz Lindsay Sloane Comedy Crime
1235,Escape from Planet Earth,Cal Brunker Brendan Fraser Paul Scheer Jonathan Morgan Heit Adventure Animation Comedy Family Sci-Fi
1236,Apocalypto,Mel Gibson Rudy Youngblood Dalia Hernández Jonathan Brewer Action Adventure Drama Thriller
1237,The Living Daylights,John Glen Joe Don Baker Desmond Llewelyn Art Malik Action Adventure Thriller
1238,Predators,Nimród Antal Topher Grace Alice Braga Derek Mears Action Adventure Sci-Fi Thriller
1239,Legal Eagles,Ivan Reitman Brian Dennehy Debra Winger Roscoe Lee Browne Comedy Crime Romance
1240,Secret Window,David Koepp Johnny Depp Charles S. Dutton Timothy Hutton Mystery Thriller
1241,The Lake House,Alejandro Agresti Keanu Reeves Dylan Walsh Ebon Moss-Bachrach Drama Fantasy Romance
1242,The Skeleton Key,Iain Softley Gena Rowlands Deneen Tyler Joy Bryant Horror Mystery Thriller
1243,The Odd Life of Timothy Green,Peter Hedges Jennifer Garner Odeya Rush Common Comedy Drama Family Fantasy
1244,Made of Honor,Paul Weiland Busy Philipps Beau Garrett Kevin Sussman Comedy Romance
1245,Jersey Boys,Clint Eastwood Johnny Cannizzaro Steve Schirripa Scott Vance Biography Drama Music Musical
1246,The Rainmaker,Francis Ford Coppola Matt Damon Dean Stockwell Virginia Madsen Crime Drama Thriller
1247,Gothika,Mathieu Kassovitz Robert Downey Jr. Charles S. Dutton Bernard Hill Horror Mystery Thriller
1248,Amistad,Steven Spielberg Anthony Hopkins Morgan Freeman Matthew McConaughey Drama History
1249,Medicine Man,John McTiernan Lorraine Bracco José Wilker Sean Connery Adventure Drama Romance
1250,Aliens vs. Predator: Requiem,Colin Strause Sam Trammell Johnny Lewis Ian Whyte Action Horror Sci-Fi Thriller
1251,Ri¢hie Ri¢h,Donald Petrie Macaulay Culkin John Larroquette Jonathan Hyde Comedy Family
1252,Autumn in New York,Joan Chen J.K. Simmons Sam Trammell Elaine Stritch Drama Romance
1253,Music and Lyrics,Marc Lawrence Brad Garrett Scott Porter Haley Bennett Comedy Music Romance
1254,Paul,Greg Mottola Bobby Lee Nelson Ascencio Jeremy Owen Adventure Comedy Sci-Fi
1255,The Guilt Trip,Anne Fletcher Miriam Margolyes Tom Virtue Julene Renee Comedy Drama
1256,Scream 4,Wes Craven Alison Brie Aimee Teegarden Shenae Grimes-Beech Horror Mystery
1257,8MM,Joel Schumacher Nicolas Cage Chris Bauer Anthony Heald Mystery Thriller
1258,The Doors,Oliver Stone Michael Wincott Kevin Dillon Kathleen Quinlan Biography Drama Music Musical
1259,Sex Tape,Jake Kasdan James Wilcox Randall Park Nat Faxon Comedy
1260,Hanging Up,Diane Keaton Adam Arkin Celia Weston Jesse James Comedy Drama
1261,Final Destination 5,Steven Quale Emma Bell Jacqueline MacInnes Wood Courtney B. Vance Horror
1262,Mickey Blue Eyes,Kelly Makin Jeanne Tripplehorn Burt Young Vincent Pastore Comedy Crime Romance
1263,Pay It Forward,Mimi Leder Kevin Spacey Haley Joel Osment Angie Dickinson Drama
1264,Fever Pitch,Bobby Farrelly Jimmy Fallon KaDee Strickland Ione Skye Comedy Drama Romance Sport
1265,Arthur            , Bruce Dinsmore Melissa Altro Daniel Brochu Animation Comedy Family
1266,Drillbit Taylor,Steven Brill Lisa Ann Walter Shaun Weiss Matt Walsh Comedy Drama
1267,A Million Ways to Die in the West,Seth MacFarlane Liam Neeson Charlize Theron Seth MacFarlane Comedy Western
1268,The Shadow,Russell Mulcahy Jonathan Winters Peter Boyle John Kapelos Action Adventure Crime Fantasy Mystery Thriller
1269,Extremely Loud & Incredibly Close,Stephen Daldry Tom Hanks Thomas Horn Stephen Henderson Adventure Drama Mystery
1270,Morning Glory,Roger Michell Noah Bean Patti D'Arbanville Vanessa Aspillaga Comedy Drama Romance
1271,Get Rich or Die Tryin',Jim Sheridan 50 Cent Bill Duke Marc John Jefferies Biography Crime Drama Music
1272,The Art of War,Christian Duguay Michael Biehn Cary-Hiroyuki Tagawa Anne Archer Action Adventure Crime Thriller
1273,Rent,Chris Columbus Rosario Dawson David Fine Jesse L. Martin Drama Musical Romance
1274,Bless the Child,Chuck Russell Rufus Sewell Jimmy Smits Angela Bettis Crime Drama Horror Thriller
1275,The Out-of-Towners,Sam Weisman Oliver Hudson Valerie Perri Carlease Burke Comedy
1276,The Island of Dr. Moreau,John Frankenheimer Marlon Brando Temuera Morrison Marco Hofschneider Horror Sci-Fi Thriller
1277,The Musketeer,Peter Hyams Catherine Deneuve Justin Chambers Stephen Rea Action Adventure Romance
1278,The Other Boleyn Girl,Justin Chadwick Natalie Portman Scarlett Johansson Benedict Cumberbatch Biography Drama History Romance
1279,Sweet November,Pat O'Connor Keanu Reeves Charlize Theron Frank Langella Drama Romance
1280,The Reaping,Stephen Hopkins Stephen Rea Andrea Frankle William Ragsdale Horror Thriller
1281,Mean Streets,Martin Scorsese Robert De Niro David Carradine David Proval Crime Drama Romance Thriller
1282,Renaissance Man,Penny Marshall Ed Begley Jr. Cliff Robertson Lillo Brancato Comedy Drama
1283,Colombiana,Olivier Megaton Jordi Mollà Callum Blue Jesse Borrego Action Crime Drama Thriller
1284,The Magic Sword: Quest for Camelot,Frederik Du Chau Gary Oldman Jaleel White Eric Idle Adventure Animation Comedy Drama Family Fantasy Musical
1285,City by the Sea,Michael Caton-Jones Robert De Niro James Franco John Doman Crime Drama Mystery Thriller
1286,At First Sight,Irwin Winkler Mira Sorvino Nathan Lane Steven Weber Drama Romance
1287,Torque,Joseph Kahn Dane Cook Jay Hernandez Christina Milian Action Comedy Crime
1288,City Hall,Harold Becker Al Pacino Martin Landau Bridget Fonda Drama Thriller
1289,Showgirls,Paul Verhoeven Bobbie Phillips Elizabeth Berkley Robert Davi Drama
1290,Marie Antoinette,Sofia Coppola Kirsten Dunst Shirley Henderson Rip Torn Biography Drama History Romance
1291,Kiss of Death,Barbet Schroeder Nicolas Cage Michael Rapaport Philip Baker Hall Action Crime Thriller
1292,Get Carter,Stephen Kay Sylvester Stallone Miranda Richardson Lauren Lee Smith Action Crime Drama Thriller
1293,The Impossible,J.A. Bayona Naomi Watts Geraldine Chaplin Oaklee Pendergast Drama Thriller
1294,Ishtar,Elaine May Carol Kane Warren Beatty Isabelle Adjani Action Adventure Comedy Music Thriller
1295,Fantastic Mr. Fox,Wes Anderson Bill Murray Meryl Streep Helen McCrory Adventure Animation Comedy Crime Family
1296,Life or Something Like It,Stephen Herek Angelina Jolie Pitt Stockard Channing James Gammon Comedy Romance
1297,Memoirs of an Invisible Man,John Carpenter Richard Epcar Michael McKean Patricia Heaton Comedy Romance Sci-Fi Thriller
1298,Amélie,Jean-Pierre Jeunet Mathieu Kassovitz Jamel Debbouze Isabelle Nanty Comedy Romance
1299,New York Minute,Dennie Gordon Mary-Kate Olsen Bob Saget Riley Smith Comedy Crime Family Romance
1300,Alfie,Charles Shyer Omar Epps Nia Long Jane Krakowski Comedy Drama Romance
1301,Big Miracle,Ken Kwapis Ted Danson Tim Blake Nelson Andrew Daly Biography Drama Romance
1302,The Deep End of the Ocean,Ulu Grosbard Alexa PenaVega Treat Williams Jonathan Jackson Drama
1303,Feardotcom,William Malone Natascha McElhone Jeffrey Combs Udo Kier Crime Horror Thriller
1304,Cirque du Freak: The Vampire's Assistant,Paul Weitz Josh Hutcherson Salma Hayek Patrick Fugit Action Adventure Fantasy Thriller
1305,Victor Frankenstein,Paul McGuigan Daniel Radcliffe Spencer Wilding Daniel Mays Drama Horror Sci-Fi Thriller
1306,Duplex,Danny DeVito Justin Theroux Amber Valletta Harvey Fierstein Comedy
1307,Soul Men,Malcolm D. Lee Bernie Mac Sean Hayes Mike Epps Comedy Drama Music
1308,Raise the Titanic,Jerry Jameson M. Emmet Walsh Jason Robards Anne Archer Action Adventure Drama Thriller
1309,Universal Soldier: The Return,Mic Rodgers Michael Jai White Daniel von Bargen Xander Berkeley Action Sci-Fi
1310,Pandorum,Christian Alvart Norman Reedus Dennis Quaid Eddie Rouse Action Horror Mystery Sci-Fi Thriller
1311,Impostor,Gary Fleder Gary Dourdan Mekhi Phifer Tim Guinee Drama Mystery Sci-Fi Thriller
1312,Extreme Ops,Christian Duguay Rufus Sewell Bridgette Wilson-Sampras Rupert Graves Action Adventure Thriller
1313,Just Visiting,Jean-Marie Poiré Bridgette Wilson-Sampras Matt Ross John Aylward Comedy Fantasy Sci-Fi
1314,Sunshine,Danny Boyle Chris Evans Benedict Wong Troy Garity Adventure Sci-Fi Thriller
1315,A Thousand Words,Brian Robbins John Gatins Lou Saliba Greg Collins Comedy Drama
1316,Delgo,Marc F. Adler Eric Idle Anne Bancroft Kelly Ripa Adventure Animation Comedy Fantasy Romance
1317,The Gunman,Pierre Morel Ray Winstone Mark Rylance Jasmine Trinca Action Crime Drama Mystery Thriller
1318,Alex Rider: Operation Stormbreaker,Geoffrey Sax Alex Pettyfer Sophie Okonedo Ashley Walters Action Adventure Family Thriller
1319,Disturbia,D.J. Caruso Sarah Roemer Aaron Yoo Jose Pablo Cantillo Drama Mystery Thriller
1320,Hackers,Iain Softley Angelina Jolie Pitt Fisher Stevens Lorraine Bracco Comedy Crime Drama Thriller
1321,The Hunting Party,Richard Shepard James Brolin Zan Marolt Ljubomir Kerekes Adventure Comedy Drama Romance Thriller War
1322,The Hudsucker Proxy,Joel Coen Jennifer Jason Leigh Bill Cobbs John Mahoney Comedy Fantasy
1323,The Warlords,Peter Ho-Sun Chan Jet Li Takeshi Kaneshiro Andy Lau Action Drama History Romance War
1324,Nomad: The Warrior,Sergey Bodrov Jay Hernandez Kuno Becker Jason Scott Lee Drama History War
1325,Snowpiercer,Joon-ho Bong Chris Evans Ewen Bremner Kang-ho Song Action Drama Sci-Fi Thriller
1326,A Monster in Paris,Bibo Bergeron Adam Goldberg Bob Balaban François Cluzet Adventure Animation Comedy Fantasy Music Romance
1327,The Last Shot,Jeff Nathanson Matthew Broderick Glenn Morshower Tim Blake Nelson Comedy
1328,The Crow,Alex Proyas Michael Wincott Bai Ling David Patrick Kelly Action Drama Fantasy
1329,Baahubali: The Beginning,S.S. Rajamouli Tamannaah Bhatia Anushka Shetty Prabhas Action Adventure Drama Fantasy War
1330,The Time Traveler's Wife,Robert Schwentke Arliss Howard Brooklynn Proulx Michelle Nolden Drama Fantasy Romance Sci-Fi
1331,Because I Said So,Michael Lehmann Colin Ferguson Stephen Collins Tom Everett Scott Comedy Romance
1332,The Fast and the Furious,Rob Cohen Paul Walker Vin Diesel Jordana Brewster Action Crime Thriller
1333,Frankenweenie,Tim Burton Martin Landau Catherine O'Hara Atticus Shaffer Animation Comedy Family Horror Sci-Fi
1334,Serenity,Joss Whedon Adam Baldwin Sean Maher Michael Hitchcock Action Adventure Sci-Fi Thriller
1335,Against the Ropes,Charles S. Dutton Omar Epps Charles S. Dutton Tim Daly Biography Drama Romance Sport
1336,Superman III,Richard Lester Margot Kidder Robert Vaughn Jackie Cooper Action Comedy Sci-Fi
1337,Grudge Match,Peter Segal Robert De Niro Sylvester Stallone Oscar Gale Comedy Sport
1338,Red Cliff,John Woo Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao Action Adventure Drama History War
1339,Sweet Home Alabama,Andy Tennant Ethan Embry Mary Lynn Rajskub Courtney Gains Comedy Romance
1340,The Ugly Truth,Robert Luketic Gerard Butler John Michael Higgins Eric Winter Comedy Romance
1341,Sgt. Bilko,Jonathan Lynn Austin Pendleton Phil Hartman Max Casella Comedy
1342,Spy Kids 2: Island of Lost Dreams,Robert Rodriguez Steve Buscemi Alexa PenaVega Emily Osment Action Adventure Comedy Family Sci-Fi
1343,Star Trek: Generations,David Carson LeVar Burton Alan Ruck Jonathan Frakes Action Adventure Mystery Sci-Fi Thriller
1344,The Grandmaster,Kar-Wai Wong Tony Chiu Wai Leung Hye-kyo Song Elvis Tsui Action Biography Drama
1345,Water for Elephants,Francis Lawrence Robert Pattinson Christoph Waltz James Frain Drama Romance
1346,3rd Rock from the Sun            , Joseph Gordon-Levitt Wayne Knight Kristen Johnston Comedy Family Sci-Fi
1347,Dragon Nest: Warriors' Dawn,Yuefeng Song Blythe Auffarth Bianca Collins Jiao Xu Adventure Animation Family Fantasy
1348,The Hurricane,Norman Jewison Denzel Washington Vincent Pastore Deborah Kara Unger Biography Drama Sport
1349,Enough,Michael Apted Bill Cobbs Jeff Kober Billy Campbell Crime Drama Thriller
1350,Heartbreakers,David Mirkin Sarah Silverman Anne Bancroft Jeffrey Jones Comedy Crime Romance
1351,Paul Blart: Mall Cop 2,Andy Fickman D.B. Woodside Daniella Alonso Eduardo Verástegui Action Comedy Crime
1352,Angel Eyes,Luis Mandoki Sonia Braga Shirley Knight Kari Matchett Drama Romance
1353,Joe Somebody,John Pasquin Jim Belushi Ken Marino Kelly Lynch Comedy Drama
1354,The Ninth Gate,Roman Polanski Johnny Depp Frank Langella Lena Olin Mystery Thriller
1355,Extreme Measures,Michael Apted J.K. Simmons Paul Guilfoyle Bill Nunn Crime Drama Mystery Thriller
1356,Rock Star,Stephen Herek Beth Grant Dagmara Dominczyk Matthew Glave Drama Music
1357,Precious,Lee Daniels Mo'Nique Gabourey Sidibe Mariah Carey Drama
1358,White Squall,Ridley Scott Jeff Bridges Jason Marsden Ethan Embry Adventure Drama
1359,The Thing,John Carpenter Wilford Brimley Richard Masur David Clennon Horror Mystery Sci-Fi
1360,Riddick,David Twohy Vin Diesel Nolan Gerard Funk Bokeem Woodbine Action Sci-Fi Thriller
1361,Switchback,Jeb Stuart Gregory Scott Cummins Claudia Stedelin Ted Markland Crime Mystery Thriller
1362,Texas Rangers,Steve Miner Tom Skerritt Usher Raymond Leonor Varela Action Adventure Drama Thriller Western
1363,City of Ember,Gil Kenan Bill Murray Toby Jones Harry Treadaway Adventure Family Fantasy Sci-Fi
1364,The Master,Paul Thomas Anderson Mike Howard Jeffrey W. Jenkins Bruce Goodchild Drama
1365,Virgin Territory,David Leland Hayden Christensen Ryan Cartwright David Walliams Adventure Comedy History Romance
1366,The Express,Gary Fleder Dennis Quaid Nicole Beharie Charles S. Dutton Biography Drama Sport
1367,The 5th Wave,J Blakeson Chloë Grace Moretz Maggie Siff Nick Robinson Action Adventure Sci-Fi Thriller
1368,Creed,Ryan Coogler Sylvester Stallone Phylicia Rashad Graham McTavish Drama Sport
1369,The Town,Ben Affleck Jeremy Renner Jon Hamm Owen Burke Crime Drama Thriller
1370,What to Expect When You're Expecting,Kirk Jones Anna Kendrick Dennis Quaid Thomas Lennon Comedy Drama Romance
1371,Burn After Reading,Ethan Coen J.K. Simmons Brad Pitt Kevin Sussman Comedy Drama
1372,Nim's Island,Jennifer Flackett Gerard Butler Anthony Simcoe Christopher James Baker Adventure Comedy Family Fantasy
1373,Rush,Ron Howard Chris Hemsworth Olivia Wilde Alexandra Maria Lara Action Biography Drama Sport
1374,Magnolia,Paul Thomas Anderson Patton Oswalt Neil Flynn Jim Meskimen Drama
1375,Cop Out,Kevin Smith Bruce Willis Tracy Morgan Kevin Pollak Action Comedy Crime
1376,How to Be Single,Christian Ditter Alison Brie Damon Wayans Jr. Nicholas Braun Comedy Romance
1377,Dolphin Tale,Charles Martin Smith Morgan Freeman Michael Roark Harry Connick Jr. Drama Family
1378,Twilight,Catherine Hardwicke Kristen Stewart Taylor Lautner Anna Kendrick Drama Fantasy Romance
1379,John Q,Nick Cassavetes Denzel Washington Laura Harring Anne Heche Crime Drama Thriller
1380,Blue Streak,Les Mayfield Peter Greene Dave Chappelle Tamala Jones Action Comedy Crime Thriller
1381,We're the Millers,Rawson Marshall Thurber Laura-Leigh Molly C. Quinn Thomas Lennon Comedy Crime
1382,Obitaemyy ostrov,Fedor Bondarchuk Yuliya Snigir Fedor Bondarchuk Aleksey Serebryakov Action Adventure Sci-Fi
1383,Breakdown,Jonathan Mostow Kathleen Quinlan M.C. Gainey J.T. Walsh Action Crime Drama Mystery Thriller
1384,Never Say Never Again,Irvin Kershner Bernie Casey Klaus Maria Brandauer Barbara Carrera Action Adventure Thriller
1385,Hot Tub Time Machine,Steve Pink Charlie McDermott Collette Wolfe Crystal Lowe Comedy Sci-Fi
1386,Dolphin Tale 2,Charles Martin Smith Morgan Freeman Taylor Blackwell Harry Connick Jr. Drama Family
1387,Reindeer Games,John Frankenheimer Charlize Theron James Frain Clarence Williams III Action Adventure Crime Drama Family Fantasy Romance Thriller
1388,A Man Apart,F. Gary Gray Vin Diesel Jeff Kober Larenz Tate Action Crime Drama Thriller
1389,Aloha,Cameron Crowe Emma Stone Bradley Cooper Bill Murray Comedy Drama Romance
1390,Ghosts of Mississippi,Rob Reiner Alexa PenaVega Virginia Madsen Craig T. Nelson Drama History
1391,Snow Falling on Cedars,Scott Hicks Rick Yune Reeve Carney Daniel von Bargen Drama Mystery Romance Thriller
1392,The Rite,Mikael Håfström Anthony Hopkins Colin O'Donoghue Toby Jones Drama Horror Mystery Thriller
1393,Gattaca,Andrew Niccol Blair Underwood Xander Berkeley Mason Gamble Drama Sci-Fi Thriller
1394,Isn't She Great,Andrew Bergman Stockard Channing Nathan Lane John Larroquette Biography Comedy Romance
1395,Space Chimps,Kirk De Micco Cheryl Hines Kenan Thompson Omid Abtahi Adventure Animation Comedy Family Sci-Fi
1396,Head of State,Chris Rock Bernie Mac Dylan Baker Tracy Morgan Comedy
1397,The Hangover,Todd Phillips Bradley Cooper Rob Riggle Mike Epps Comedy
1398,Ip Man 3,Wilson Yip Mike Tyson Lynn Hung Kwok-Kwan Chan Action Biography Drama History
1399,Austin Powers: The Spy Who Shagged Me,Jay Roach Muse Watson Verne Troyer Robert Wagner Action Adventure Comedy Crime
1400,Batman,Tim Burton Michael Gough Jack Palance William Hootkins Action Adventure
1401,There Be Dragons,Roland Joffé Jordi Mollà Dougray Scott Lily Cole Biography Drama War
1402,Lethal Weapon 3,Richard Donner Rene Russo Nick Chinlund Stuart Wilson Action Crime Thriller
1403,The Blind Side,John Lee Hancock Catherine Dyer Quinton Aaron Kim Dickens Biography Drama Sport
1404,Rush Hour            , Jon Foo Aimee Garcia Wendie Malick Action Comedy Crime
1405,Spy Kids,Robert Rodriguez Alexa PenaVega Cheech Marin Daryl Sabara Action Adventure Comedy Family Sci-Fi
1406,Horrible Bosses,Seth Gordon Kevin Spacey Lindsay Sloane Reginald Ballard Comedy Crime
1407,True Grit,Ethan Coen Matt Damon Jeff Bridges Bruce Green Adventure Drama Western
1408,The Devil Wears Prada,David Frankel Meryl Streep Anne Hathaway Rebecca Mader Comedy Drama Romance
1409,Star Trek: The Motion Picture,Robert Wise Leonard Nimoy Nichelle Nichols Walter Koenig Adventure Mystery Sci-Fi
1410,Identity Thief,Seth Gordon Jon Favreau Eric Stonestreet T.I. Comedy Crime
1411,Cape Fear,Martin Scorsese Robert De Niro Robert Mitchum Joe Don Baker Crime Thriller
1412,21,Robert Luketic Kevin Spacey Jim Sturgess Josh Gad Crime Drama Thriller
1413,Trainwreck,Judd Apatow Amy Schumer Randall Park Josh Segarra Comedy Romance
1414,Guess Who,Kevin Rodney Sullivan Bernie Mac Nicole Sullivan Sherri Shepherd Comedy Romance
1415,The English Patient,Anthony Minghella Colin Firth Kristin Scott Thomas Jürgen Prochnow Drama Romance War
1416,L.A. Confidential,Curtis Hanson Kevin Spacey Matt McCoy Paul Guilfoyle Crime Drama Mystery Thriller
1417,Sky High,Mike Mitchell Michael Angarano Kelly Preston Nicholas Braun Adventure Comedy Family Sci-Fi
1418,In & Out,Frank Oz Tom Selleck Wilford Brimley Lauren Ambrose Comedy
1419,Species,Roger Donaldson Natasha Henstridge Marg Helgenberger Jordan Lund Action Horror Sci-Fi Thriller
1420,A Nightmare on Elm Street,Wes Craven Johnny Depp Lin Shaye Amanda Wyss Horror
1421,The Cell,Tarsem Singh Dylan Baker Jake Weber James Gammon Horror Sci-Fi Thriller
